error, position_x, position_y, now_target_x, now_target_y, next_target_x, next_target_y
-0.0225005149841309, -4.31044, 5.022501, -5, 5, 5, 5
-0.022892951965332, -4.295445, 5.022893, -5, 5, 5, 5
-0.0232853889465332, -4.28045, 5.023285, -5, 5, 5, 5
-0.0236778259277344, -4.265455, 5.023678, -5, 5, 5, 5
-0.0240702629089355, -4.25046, 5.02407, -5, 5, 5, 5
-0.0244626998901367, -4.235465, 5.024463, -5, 5, 5, 5
-0.0248551368713379, -4.220469, 5.024855, -5, 5, 5, 5
-0.0252475738525391, -4.205474, 5.025248, -5, 5, 5, 5
-0.0256400108337402, -4.190479, 5.02564, -5, 5, 5, 5
-0.0260324478149414, -4.175484, 5.026032, -5, 5, 5, 5
-0.0264248847961426, -4.160489, 5.026425, -5, 5, 5, 5
-0.0268173217773438, -4.145494, 5.026817, -5, 5, 5, 5
-0.0272097587585449, -4.130499, 5.02721, -5, 5, 5, 5
-0.0276026725769043, -4.115504, 5.027603, -5, 5, 5, 5
-0.0279955863952637, -4.100509, 5.027996, -5, 5, 5, 5
-0.028388500213623, -4.085514, 5.028389, -5, 5, 5, 5
-0.0287814140319824, -4.070518, 5.028781, -5, 5, 5, 5
-0.0291743278503418, -4.055523, 5.029174, -5, 5, 5, 5
-0.0295672416687012, -4.040528, 5.029567, -5, 5, 5, 5
-0.0299601554870605, -4.025533, 5.02996, -5, 5, 5, 5
-0.0303530693054199, -4.010538, 5.030353, -5, 5, 5, 5
-0.0307459831237793, -3.995543, 5.030746, -5, 5, 5, 5
-0.0311388969421387, -3.980549, 5.031139, -5, 5, 5, 5
-0.031531810760498, -3.965554, 5.031532, -5, 5, 5, 5
-0.0319247245788574, -3.950559, 5.031925, -5, 5, 5, 5
-0.0323176383972168, -3.935564, 5.032318, -5, 5, 5, 5
-0.032710075378418, -3.920569, 5.03271, -5, 5, 5, 5
-0.0331029891967773, -3.905574, 5.033103, -5, 5, 5, 5
-0.0334963798522949, -3.890579, 5.033496, -5, 5, 5, 5
-0.0338892936706543, -3.875584, 5.033889, -5, 5, 5, 5
-0.0342822074890137, -3.86059, 5.034282, -5, 5, 5, 5
-0.034675121307373, -3.845595, 5.034675, -5, 5, 5, 5
-0.0350680351257324, -3.8306, 5.035068, -5, 5, 5, 5
-0.0354609489440918, -3.815605, 5.035461, -5, 5, 5, 5
-0.0358538627624512, -3.80061, 5.035854, -5, 5, 5, 5
-0.0362467765808105, -3.785616, 5.036247, -5, 5, 5, 5
-0.0366392135620117, -3.770621, 5.036639, -5, 5, 5, 5
-0.0370321273803711, -3.755626, 5.037032, -5, 5, 5, 5
-0.0374250411987305, -3.740631, 5.037425, -5, 5, 5, 5
-0.0378179550170898, -3.725636, 5.037818, -5, 5, 5, 5
-0.0382113456726074, -3.710642, 5.038211, -5, 5, 5, 5
-0.0386037826538086, -3.695647, 5.038604, -5, 5, 5, 5
-0.0389962196350098, -3.680652, 5.038996, -5, 5, 5, 5
-0.0393886566162109, -3.665657, 5.039389, -5, 5, 5, 5
-0.0397810935974121, -3.650662, 5.039781, -5, 5, 5, 5
-0.0401735305786133, -3.635667, 5.040174, -5, 5, 5, 5
-0.0405659675598145, -3.620672, 5.040566, -5, 5, 5, 5
-0.0409584045410156, -3.605678, 5.040958, -5, 5, 5, 5
-0.0413508415222168, -3.590683, 5.041351, -5, 5, 5, 5
-0.041743278503418, -3.575688, 5.041743, -5, 5, 5, 5
-0.0421357154846191, -3.560693, 5.042136, -5, 5, 5, 5
-0.0425281524658203, -3.545698, 5.042528, -5, 5, 5, 5
-0.0429205894470215, -3.530704, 5.042921, -5, 5, 5, 5
-0.0433130264282227, -3.515709, 5.043313, -5, 5, 5, 5
-0.0437054634094238, -3.500714, 5.043705, -5, 5, 5, 5
